LSOA11CD,LSOA21CD,CHGIND
E01000065,E01000065,U
E01000078,E01000078,U
E01000080,E01000080,U
E01000081,E01000081,U
E01000082,E01000082,U
E01017668,E01017668,U
E01017697,E01017697,U
E01017698,E01017698,U
E01017699,E01017699,U
E01017700,E01017700,U
E01017634,E01017634,U
E01017662,E01017662,U
E01017663,E01017663,U
E01032955,E01032955,U
E01032961,E01032961,U
E01017653,E01017653,U
E01017654,E01017654,U
E01017655,E01017655,U
E01032956,E01032956,U
E01032957,E01032957,U
E01032962,E01032962,U
E01017635,E01017635,U
E01017636,E01017636,U
E01017637,E01017637,U
E01017638,E01017638,U
E01017639,E01017639,U
E01017640,E01017640,U
E01017709,E01017709,U
E01017710,E01017710,U
E01017711,E01017711,U
E01017712,E01017712,U
E01017687,E01017687,U
E01017688,E01017688,U
E01017689,E01017689,U
E01017690,E01017690,U
E01017691,E01017691,U
E01017692,E01017692,U
E01017721,E01017721,U
E01017722,E01017722,U
E01017723,E01017723,U
E01017724,E01017724,U
E01017627,E01017627,U
E01017628,E01017628,U
E01017629,E01017629,U
E01017630,E01017630,U
E01017631,E01017631,U
E01017632,E01033965,S
E01017632,E01033966,S
E01017675,E01017675,U
E01017695,E01017695,U
E01017696,E01017696,U
E01017693,E01017693,U
E01017694,E01017694,U
E01017713,E01017713,U
E01017714,E01017714,U
E01017717,E01017717,U
E01017718,E01017718,U
E01017735,E01017735,U
E01017736,E01017736,U
E01017737,E01017737,U
E01017738,E01017738,U
E01017669,E01017669,U
E01017670,E01017670,U
E01017715,E01017715,U
E01017716,E01017716,U
E01017641,E01033955,S
E01017641,E01033956,S
E01017641,E01033957,S
E01017731,E01017731,U
E01017732,E01017732,U
E01017733,E01017733,U
E01017734,E01017734,U
E01017703,E01017703,U
E01017704,E01017704,U
E01017719,E01017719,U
E01017720,E01017720,U
E01032958,E01032958,U
E01032959,E01033958,S
E01032959,E01033959,S
E01017651,E01017651,U
E01017652,E01017652,U
E01017657,E01017657,U
E01017658,E01017658,U
E01017701,E01017701,U
E01017702,E01017702,U
E01017642,E01017642,U
E01017643,E01017643,U
E01017673,E01017673,U
E01017674,E01017674,U
E01017659,E01017659,U
E01017660,E01017660,U
E01017661,E01017661,U
E01017664,E01017664,U
E01017705,E01033960,S
E01017705,E01033961,S
E01017705,E01033962,S
E01017705,E01033963,S
E01017705,E01033964,S
E01017705,E01033967,S
E01000083,E01000083,U
E01000102,E01000102,U
E01000021,E01000021,U
E01000022,E01000022,U
E01000023,E01034472,S
E01000023,E01034471,S
E01000024,E01000024,U
E01000025,E01000025,U
E01000077,E01000077,U
E01000015,E01000015,U
E01000016,E01000016,U
E01000017,E01000017,U
E01000018,E01000018,U
