LSOA11CD,pct_bad_health_2011,pct_bad_health_2021
E01000665,4.298,3.229
E01000666,2.756,2.961
E01000667,3.765,2.649
E01000668,2.963,3.647
E01000669,3.469,3.401
E01000670,2.277,2.474
E01000671,3.899,3.436
E01000672,4.079,2.985
E01000673,3.374,2.572
E01000674,4.923,3.73
E01000675,3.202,2.957
E01000676,4.553,2.853
E01000677,2.657,2.524
E01000678,2.871,1.784
E01000679,2.169,2.851
E01000680,2.797,3.23
E01000681,1.994,2.39
E01000682,3.412,2.866
E01000683,4.774,3.05
E01000684,2.505,2.483
E01000685,4.409,4.054
E01000686,3.647,4.217
E01000687,2.433,3.898
E01000688,2.564,2.592
E01000689,7.709,6.112
E01000690,2.639,3.453
E01000691,4.729,4.625
E01000692,2.73,2.754
E01000693,5.469,4.702
E01000694,3.012,3.133
E01000695,3.882,2.635
E01000696,4.095,4.526
E01000697,3.034,2.803
E01000698,2.876,2.601
E01000699,4.369,4.683
E01000700,4.109,3.884
E01000701,4.597,2.986
E01000702,2.877,3.003
E01000703,3.064,3.64
E01000704,3.532,3.469
E01000705,3.664,2.876
E01000706,3.867,4.655
E01000707,1.787,1.856
E01000708,3.759,3.254
E01000709,5.923,3.723
E01000710,2.617,2.755
E01000711,4.887,3.034
E01000712,2.438,2.731
E01000713,2.658,2.92
E01000714,3.217,2.86
E01000715,3.44,2.729
E01000716,4.799,5.082
E01000717,2.921,2.582
E01000718,4.27,3.889
E01000719,5.643,5.577
E01000720,4.841,5.272
E01000721,5.953,6.733
E01000722,4.768,4.385
E01000723,6.175,4.754
E01000724,6.477,5.738
E01000725,4.692,4.966
E01000726,5.85,5.291
E01000727,6.246,4.846
E01000728,6.322,5.962
E01000729,7.572,7.249
E01000730,6.903,5.921
E01000731,5.356,5.427
E01000732,5.424,4.158
E01000733,5.775,5.096
E01000734,3.382,3.602
E01000735,6.132,4.974
E01000736,5.064,5.803
E01000737,8.642,7.692
E01000738,5.632,5.095
E01000739,9.324,6.38
E01000740,3.057,2.951
E01000741,5.549,3.681
E01000742,3.12,3.681
E01000743,8.136,11.081
E01000744,10.059,7.633
E01000745,4.212,4.036
E01000746,4.09,3.216
E01000747,2.708,4.485
E01000748,3.933,3.675
E01000749,4.093,4.482
E01000750,6.635,7.692
E01000751,3.388,2.907
E01000752,4.732,4.519
E01000753,4.208,2.532
E01000754,2.388,2.881
E01000755,3.189,2.378
E01000756,2.623,2.752
E01000757,2.468,2.864
E01000758,3.313,3.101
E01000759,2.27,3.041
E01000760,3.859,4.359
E01000761,2.255,2.329
E01000762,3.943,2.577
E01000763,2.548,2.783
E01000764,4.087,4.238
E01000765,3.11,2.688
E01000766,1.984,2.205
E01000767,2.552,2.882
E01000768,4.566,3.262
E01000769,4.446,5.256
E01000770,3.289,3.228
E01000771,2.263,2.579
E01000772,4.156,3.861
E01000773,3.879,2.836
E01000774,3.327,3.189
E01000775,2.604,3.106
E01000777,3.382,2.331
E01000778,2.848,3.508
E01000779,5.191,3.929
E01000780,5.27,5.211
E01000781,6.436,5.672
E01000782,7.078,7.896
E01000783,6.919,5.231
E01000784,3.125,2.826
E01000785,6.879,6.662
E01000786,4.152,4.654
E01000787,5.836,6.275
E01000788,4.849,4.391
E01000789,4.833,6.46
E01000790,3.964,2.786
E01000791,4.913,4.762
E01000792,4.904,3.844
E01000793,3.776,3.079
E01000794,3.67,3.172
E01000795,4.816,3.968
E01000796,5.706,5.595
E01000797,4.353,3.384
E01000798,7.036,7.395
E01000799,3.776,3.113
E01000800,5.439,5.042
E01000801,6.351,4.954
E01000802,4.396,3.896
E01000803,4.198,4.599
E01000804,3.343,2.517
